visitId,fullVisitorId,transactionRevenue,sessionDuration,pageViews,visitNumber,channel_id,geo_id,time_id
3019408,5708326877,0,986,1,2,1,1,1
1581146,3698283367,0,261,2,2,2,2,2
8969089,8302424417,0,1102,4,5,3,1,3
4964896,6433287352,0,97,1,3,4,3,4
8905857,8610834162,0,320,10,2,5,4,5
5271770,6530089267,7438,621,10,3,6,4,6
9524545,3787640861,0,643,1,4,7,3,7
6902975,4555352748,0,1078,1,5,8,4,8
2676208,5324087821,9766,972,1,3,9,5,9
6403880,3132901566,0,597,6,5,10,5,10
4904953,1394346115,0,26,5,5,11,2,11
9016295,1458089673,0,94,3,3,12,5,12
9196754,5762156296,0,58,1,2,13,2,13
5718819,1464459327,0,362,10,4,14,3,14
3533494,2798540994,0,58,9,2,15,6,15
1266759,7925250885,4357,1097,7,3,16,5,16
4087030,3379791186,0,373,7,5,17,5,17
6683357,3260490361,16037,268,7,2,18,5,18
5799091,5034587985,0,297,7,3,19,1,19
1068506,8982665046,0,635,6,2,20,4,20
4149861,8319585567,11075,48,4,2,21,4,21
9401756,1050081096,15021,874,7,4,22,2,22
9096007,7860762562,8028,439,6,4,23,1,23
4659971,9348342627,0,1185,7,3,3,2,24
5045149,2475381489,8130,871,3,1,24,3,25
2557614,3136112787,5815,99,4,3,25,4,26
5361070,4864009086,0,926,2,2,15,4,27
3675648,4368953793,3936,1171,2,2,13,5,28
5502674,6291254266,0,804,8,1,26,4,29
6523736,8310676511,17502,65,7,3,27,4,30
3531715,4589694938,0,416,4,2,23,5,31
1582763,8480575659,0,1131,9,3,28,5,32
7100459,7097439621,19709,921,9,1,29,2,33
4241839,8999054215,0,687,3,3,30,3,34
5253579,4624458481,19551,798,9,3,31,5,35
8131058,5201313977,0,108,8,4,32,1,36
3693866,7978895862,16141,116,7,3,33,4,37
8411274,7500563092,0,198,8,2,34,5,38
9288702,9186560316,12732,853,5,3,35,1,39
8565346,6566085910,1145,872,9,2,36,2,40
1278410,9461068861,0,958,6,3,37,3,41
5009926,5053516044,0,326,7,5,38,4,42
3181113,6294871094,0,128,8,2,39,6,43
1508913,6654799371,11912,682,6,4,8,6,44
3367235,8443183607,0,1036,6,3,40,2,45
1590528,4680740314,0,988,8,5,2,3,46
3043528,9610752836,0,190,1,5,41,5,47
6231954,8115346459,0,525,9,5,42,5,48
3342094,1167735444,0,340,7,4,43,2,49
1137477,6217164499,0,364,10,4,44,5,50
5277415,7638396661,0,428,1,4,45,5,51
4736851,5622311848,0,899,2,4,46,5,52
9048779,2802901530,0,515,10,5,47,1,53
1195795,1779628583,6248,1126,3,3,48,2,54
4179938,7601389468,0,197,5,3,49,6,55
3759311,1113279126,0,839,2,3,50,3,56
1375587,1955513355,17586,412,5,2,51,6,57
2677395,1667570649,0,95,8,2,52,5,58
