visitId,fullVisitorId,date,visitStartTime,channelGrouping,source,medium,deviceCategory,browser,operatingSystem,isMobile,continent,country,city,transactionRevenue,sessionDuration,pageViews,visitNumber,Unnamed: 18,channel_key,channel_id,Unnamed: 21,Unnamed: 22,geo_key,geo_id,Unnamed: 25,time_key,time_id
3019408,5708326877,20231223,1703330561,Email,youtube,(none),mobile,Opera,Android,False,South America,Brazil,São Paulo,0,986,1,2,,Email|youtube|(none),1,,,South America|Brazil|São Paulo,1,,20231223|1703330561,1
1581146,3698283367,20230524,1684959439,Direct,youtube,referral,desktop,Edge,Android,True,Europe,Germany,Berlin,0,261,2,2,,Direct|youtube|referral,2,,,Europe|Germany|Berlin,2,,20230524|1684959439,2
8969089,8302424417,20230308,1678276307,Email,direct,cpc,mobile,Edge,Macintosh,False,South America,Brazil,São Paulo,0,1102,4,5,,Email|direct|cpc,3,,,South America|Brazil|São Paulo,1,,20230308|1678276307,3
4964896,6433287352,20231101,1698801820,Email,bing,organic,desktop,Safari,Linux,True,North America,USA,New York,0,97,1,3,,Email|bing|organic,4,,,North America|USA|New York,3,,20231101|1698801820,4
8905857,8610834162,20230904,1693829893,Referral,google,email,desktop,Chrome,Linux,True,Oceania,Australia,Sydney,0,320,10,2,,Referral|google|email,5,,,Oceania|Australia|Sydney,4,,20230904|1693829893,5
5271770,6530089267,20230623,1687528524,Social,bing,organic,desktop,Safari,Linux,False,Oceania,Australia,Sydney,7438,621,10,3,,Social|bing|organic,6,,,Oceania|Australia|Sydney,4,,20230623|1687528524,6
9524545,3787640861,20230611,1686504742,Email,bing,referral,mobile,Firefox,Linux,False,North America,USA,New York,0,643,1,4,,Email|bing|referral,7,,,North America|USA|New York,3,,20230611|1686504742,7
6902975,4555352748,20230823,1692795321,Direct,newsletter,organic,desktop,Opera,Windows,True,Oceania,Australia,Sydney,0,1078,1,5,,Direct|newsletter|organic,8,,,Oceania|Australia|Sydney,4,,20230823|1692795321,8
2676208,5324087821,20230802,1690990856,Direct,facebook,email,desktop,Safari,Windows,True,Europe,Spain,Madrid,9766,972,1,3,,Direct|facebook|email,9,,,Europe|Spain|Madrid,5,,20230802|1690990856,9
6403880,3132901566,20230429,1682786043,Referral,bing,email,mobile,Firefox,Windows,False,Europe,Spain,Madrid,0,597,6,5,,Referral|bing|email,10,,,Europe|Spain|Madrid,5,,20230429|1682786043,10
4904953,1394346115,20230226,1677400539,Referral,newsletter,organic,desktop,Chrome,Macintosh,True,Europe,Germany,Berlin,0,26,5,5,,Referral|newsletter|organic,11,,,Europe|Germany|Berlin,2,,20230226|1677400539,11
9016295,1458089673,20231113,1699872684,Social,bing,cpc,desktop,Opera,Windows,True,Europe,Spain,Madrid,0,94,3,3,,Social|bing|cpc,12,,,Europe|Spain|Madrid,5,,20231113|1699872684,12
9196754,5762156296,20230904,1693796336,Paid Search,youtube,organic,tablet,Chrome,Macintosh,True,Europe,Germany,Berlin,0,58,1,2,,Paid Search|youtube|organic,13,,,Europe|Germany|Berlin,2,,20230904|1693796336,13
5718819,1464459327,20231013,1697210138,Email,bing,email,desktop,Chrome,Linux,True,North America,USA,New York,0,362,10,4,,Email|bing|email,14,,,North America|USA|New York,3,,20231013|1697210138,14
3533494,2798540994,20231012,1697084769,Social,youtube,organic,desktop,Safari,Windows,True,Asia,India,Nueva Delhi,0,58,9,2,,Social|youtube|organic,15,,,Asia|India|Nueva Delhi,6,,20231012|1697084769,15
1266759,7925250885,20230704,1688509235,Social,bing,referral,mobile,Opera,iOS,True,Europe,Spain,Madrid,4357,1097,7,3,,Social|bing|referral,16,,,Europe|Spain|Madrid,5,,20230704|1688509235,16
4087030,3379791186,20231219,1702978444,Display,direct,(none),tablet,Chrome,iOS,False,Europe,Spain,Madrid,0,373,7,5,,Display|direct|(none),17,,,Europe|Spain|Madrid,5,,20231219|1702978444,17
6683357,3260490361,20230815,1692101566,Social,direct,referral,desktop,Firefox,Macintosh,False,Europe,Spain,Madrid,16037,268,7,2,,Social|direct|referral,18,,,Europe|Spain|Madrid,5,,20230815|1692101566,18
5799091,5034587985,20230119,1674109713,Email,direct,(none),desktop,Firefox,Android,False,South America,Brazil,São Paulo,0,297,7,3,,Email|direct|(none),19,,,South America|Brazil|São Paulo,1,,20230119|1674109713,19
1068506,8982665046,20230104,1672820458,Display,facebook,email,tablet,Firefox,Linux,False,Oceania,Australia,Sydney,0,635,6,2,,Display|facebook|email,20,,,Oceania|Australia|Sydney,4,,20230104|1672820458,20
4149861,8319585567,20230921,1695336304,Direct,newsletter,cpc,mobile,Safari,iOS,False,Oceania,Australia,Sydney,11075,48,4,2,,Direct|newsletter|cpc,21,,,Oceania|Australia|Sydney,4,,20230921|1695336304,21
9401756,1050081096,20230126,1674719035,Social,google,email,mobile,Chrome,Windows,True,Europe,Germany,Berlin,15021,874,7,4,,Social|google|email,22,,,Europe|Germany|Berlin,2,,20230126|1674719035,22
9096007,7860762562,20230106,1672973279,Email,google,organic,desktop,Firefox,iOS,False,South America,Brazil,São Paulo,8028,439,6,4,,Email|google|organic,23,,,South America|Brazil|São Paulo,1,,20230106|1672973279,23
4659971,9348342627,20230920,1695206573,Email,direct,cpc,mobile,Safari,Windows,True,Europe,Germany,Berlin,0,1185,7,3,,Email|direct|cpc,3,,,Europe|Germany|Berlin,2,,20230920|1695206573,24
5045149,2475381489,20230624,1687641480,Display,google,email,tablet,Firefox,Linux,True,North America,USA,New York,8130,871,3,1,,Display|google|email,24,,,North America|USA|New York,3,,20230624|1687641480,25
2557614,3136112787,20230311,1678509670,Display,direct,email,tablet,Opera,Windows,True,Oceania,Australia,Sydney,5815,99,4,3,,Display|direct|email,25,,,Oceania|Australia|Sydney,4,,20230311|1678509670,26
5361070,4864009086,20230523,1684821867,Social,youtube,organic,tablet,Chrome,Android,True,Oceania,Australia,Sydney,0,926,2,2,,Social|youtube|organic,15,,,Oceania|Australia|Sydney,4,,20230523|1684821867,27
3675648,4368953793,20231019,1697730097,Paid Search,youtube,organic,desktop,Safari,Windows,False,Europe,Spain,Madrid,3936,1171,2,2,,Paid Search|youtube|organic,13,,,Europe|Spain|Madrid,5,,20231019|1697730097,28
5502674,6291254266,20231028,1698524705,Email,youtube,organic,mobile,Safari,Macintosh,False,Oceania,Australia,Sydney,0,804,8,1,,Email|youtube|organic,26,,,Oceania|Australia|Sydney,4,,20231028|1698524705,29
6523736,8310676511,20230623,1687529380,Referral,facebook,referral,desktop,Firefox,Windows,False,Oceania,Australia,Sydney,17502,65,7,3,,Referral|facebook|referral,27,,,Oceania|Australia|Sydney,4,,20230623|1687529380,30
3531715,4589694938,20230719,1689799416,Email,google,organic,mobile,Chrome,Windows,True,Europe,Spain,Madrid,0,416,4,2,,Email|google|organic,23,,,Europe|Spain|Madrid,5,,20230719|1689799416,31
